,Index,Image type,Image index,Distinctiveness,Reconstruction error,Distinctiveness rank,RE rank
0,Target-13,Target,13,1028.490965450499,0.0484917331830132,5528.0,5595.0
1,Target-35,Target,35,950.4523368861662,0.0446035391523947,4248.0,4533.0
2,Target-47,Target,47,1054.453720970925,0.0485020708886167,5967.0,5598.0
3,Target-84,Target,84,960.9940054003532,0.0450189940741988,4425.0,4666.0
4,Target-120,Target,120,960.9488377550048,0.0460647503402694,4421.0,4929.0
5,Target-189,Target,189,1035.9106177781632,0.0464481718687282,5647.0,5041.0
6,Target-200,Target,200,1021.3753594693924,0.0464295501964493,5420.0,5034.0
7,Target-288,Target,288,1064.8249401112903,0.0474633646240602,6171.0,5335.0
8,Target-297,Target,297,1017.9137790794772,0.0463524006837696,5353.0,5017.0
9,Target-299,Target,299,964.8815100396358,0.045486270716018,4491.0,4776.0
10,Target-303,Target,303,1069.8004364639914,0.0503206719038987,6255.0,6098.0
11,Target-315,Target,315,1055.2468087244868,0.0466018359433485,5978.0,5092.0
12,Target-319,Target,319,1036.2869435848474,0.0438097775245017,5652.0,4307.0
13,Target-326,Target,326,971.0505185194298,0.048710618009294,4567.0,5644.0
14,Target-397,Target,397,988.6318400975126,0.04460651252384,4894.0,4534.0
15,Target-440,Target,440,961.5031117586944,0.0457098254971442,4430.0,4843.0
16,Target-447,Target,447,974.7724160015744,0.0439078069388088,4634.0,4344.0
17,Target-465,Target,465,1064.9844889300684,0.0448275403034189,6175.0,4603.0
18,Target-468,Target,468,981.6520919730216,0.0446523526706216,4768.0,4547.0
19,Target-567,Target,567,1020.2091326281848,0.0434608020234292,5393.0,4196.0
20,Target-571,Target,571,1043.875762002466,0.0475680283526987,5801.0,5371.0
21,Target-587,Target,587,1003.5065084293644,0.0495333512505957,5114.0,5866.0
22,Target-596,Target,596,994.1982552271,0.0452043647079185,4987.0,4716.0
23,Target-605,Target,605,1056.8857874596754,0.0461190856136637,6012.0,4941.0
24,Target-684,Target,684,967.763990889874,0.0502862537795609,4516.0,6089.0
25,Target-712,Target,712,996.0420062270224,0.0452450434477475,5011.0,4730.0
26,Target-746,Target,746,978.8217371359592,0.0440526041223289,4731.0,4378.0
27,Target-760,Target,760,982.4320354815738,0.0438482892340183,4785.0,4316.0
28,Target-799,Target,799,958.5444073981448,0.0471156237919082,4379.0,5240.0
29,Target-843,Target,843,1032.063035341102,0.0498471514955093,5588.0,5965.0
30,Target-869,Target,869,997.1033177478364,0.0451177127702195,5027.0,4699.0
31,Target-874,Target,874,1062.1983741387412,0.0437980596670123,6107.0,4306.0
32,Target-925,Target,925,1001.8106346896304,0.0500398980852315,5091.0,6026.0
33,Target-928,Target,928,969.2167813059672,0.0496595317069541,4542.0,5902.0
34,Target-942,Target,942,967.3904054860728,0.0443380702372028,4512.0,4453.0
35,Target-948,Target,948,1043.0775154026792,0.0509691924024884,5783.0,6253.0
36,Target-963,Target,963,979.6682425975996,0.0466451421906735,4739.0,5109.0
37,Target-981,Target,981,1007.792486665337,0.0501970638420078,5187.0,6063.0
38,Target-997,Target,997,994.2713755013888,0.0465074433378089,4988.0,5064.0
39,Target-1004,Target,1004,975.5798414530104,0.0439547362674226,4658.0,4354.0
40,Target-1024,Target,1024,1000.8474498870752,0.0470398522529138,5078.0,5222.0
41,Target-1028,Target,1028,982.303570132166,0.0466461869567942,4782.0,5110.0
42,Target-1206,Target,1206,1009.5228751881164,0.047378374129407,5216.0,5311.0
43,Target-1249,Target,1249,1047.8707240738336,0.0440601368779916,5856.0,4380.0
44,Target-1289,Target,1289,971.1148394582016,0.0442274004228849,4570.0,4427.0
45,Target-1291,Target,1291,962.5856271828844,0.0492557880522494,4451.0,5789.0
46,Target-1323,Target,1323,995.067608449099,0.048597569064626,4996.0,5619.0
47,Target-1340,Target,1340,1013.1635302219868,0.0508011169679083,5271.0,6212.0
48,Target-1350,Target,1350,1069.4352512590438,0.0501632017132339,6250.0,6055.0
49,Target-1442,Target,1442,1053.298782429998,0.0437913790431054,5946.0,4303.0
50,Target-1488,Target,1488,953.8219847903448,0.0492354788599215,4299.0,5782.0
51,Target-1497,Target,1497,1009.4015786229628,0.0460329185860387,5210.0,4923.0
52,Target-1507,Target,1507,1043.478020083221,0.0437527052900499,5795.0,4290.0
53,Target-1534,Target,1534,1026.0798883216478,0.047962143796584,5500.0,5478.0
54,Target-1547,Target,1547,950.1020251280067,0.0438625662527963,4243.0,4325.0
55,Target-1549,Target,1549,951.9096459262132,0.0467479264117213,4273.0,5138.0
56,Target-1558,Target,1558,978.1568305418176,0.0453964684460949,4717.0,4755.0
57,Target-1611,Target,1611,1061.2724300745383,0.046805593835039,6082.0,5154.0
58,Target-1617,Target,1617,1055.8924999726664,0.0467125469276778,5987.0,5130.0
59,Target-1648,Target,1648,960.874301912994,0.0445305297958954,4420.0,4509.0
60,Target-1649,Target,1649,1023.1267346357596,0.0471841810627647,5454.0,5257.0
61,Target-1688,Target,1688,1052.8797041484495,0.0491508439572787,5939.0,5753.0
62,Target-1715,Target,1715,1037.4901980442228,0.0461537588525194,5679.0,4956.0
63,Target-1720,Target,1720,1040.6379734669374,0.048090642785396,5740.0,5505.0
64,Target-1769,Target,1769,1048.58432937339,0.0472229784468673,5873.0,5269.0
65,Target-1834,Target,1834,975.457655797439,0.0448874419769431,4656.0,4622.0
66,Target-1858,Target,1858,1016.7357080227748,0.0475148643051397,5330.0,5351.0
67,Target-1861,Target,1861,971.274677268524,0.0485567415349961,4576.0,5611.0
68,Target-1874,Target,1874,968.4077312455282,0.0450173989814321,4526.0,4664.0
69,Target-1903,Target,1903,978.7253155413434,0.0460144099747019,4730.0,4918.0
70,Target-1905,Target,1905,966.4769104090586,0.049841538493584,4506.0,5962.0
71,Target-1907,Target,1907,1005.094386371198,0.0437611525767919,5139.0,4293.0
72,Target-1981,Target,1981,1055.7272675312688,0.0454087201467582,5985.0,4760.0
73,Target-2027,Target,2027,976.9404300936158,0.0471927434665061,4686.0,5261.0
74,Target-2046,Target,2046,1037.197675019283,0.0477006589339959,5670.0,5402.0
75,Target-2055,Target,2055,1009.2844286705052,0.0499969998462109,5206.0,6013.0
76,Target-2064,Target,2064,1003.7928558991272,0.0466053753823673,5119.0,5094.0
77,Target-2088,Target,2088,1056.2153888583532,0.044926938816462,5996.0,4637.0
78,Target-2140,Target,2140,1042.349567867031,0.0505451241607791,5773.0,6151.0
79,Target-2159,Target,2159,1037.6688234900332,0.0464397469682029,5682.0,5038.0
80,Target-2179,Target,2179,1017.1276218990712,0.0443393336232521,5338.0,4454.0
81,Target-2191,Target,2191,1056.0098394877375,0.0456682069159683,5990.0,4828.0
82,Target-2198,Target,2198,1058.069276084566,0.0459279609624772,6030.0,4897.0
83,Target-2199,Target,2199,1061.2766009809188,0.0434541889496134,6083.0,4195.0
84,Target-2203,Target,2203,1059.254885595824,0.0463562007081254,6050.0,5018.0
85,Filler-10,Filler,10,1016.5122712266818,0.0449704289993721,5324.0,4649.0
86,Filler-27,Filler,27,1018.2305855968528,0.0438757244263139,5364.0,4330.0
87,Filler-42,Filler,42,992.5682424358728,0.0445656937823384,4961.0,4519.0
88,Filler-64,Filler,64,1057.1195624228674,0.0468336574245757,6014.0,5159.0
89,Filler-81,Filler,81,1054.1155304167107,0.0449601166716998,5960.0,4646.0
90,Filler-90,Filler,90,1023.8993193821584,0.0500475299929544,5474.0,6027.0
91,Filler-96,Filler,96,977.1873885459424,0.0477756478759945,4695.0,5423.0
92,Filler-99,Filler,99,964.9163029398331,0.0468660102039486,4492.0,5168.0
93,Filler-103,Filler,103,1047.9460711779068,0.0496689000226431,5858.0,5906.0
94,Filler-110,Filler,110,1060.6398501145547,0.045950101565483,6071.0,4904.0
95,Filler-111,Filler,111,1063.400789210208,0.0469975023420743,6133.0,5208.0
96,Filler-165,Filler,165,957.4860834835748,0.0507384759822633,4355.0,6197.0
97,Filler-178,Filler,178,984.2736979140898,0.0438506451552187,4814.0,4318.0
98,Filler-179,Filler,179,1051.5020971640104,0.0464675942144629,5915.0,5046.0
99,Filler-184,Filler,184,1019.6663374172896,0.04990450296162,5383.0,5981.0
100,Filler-205,Filler,205,1054.2966998989154,0.0478129461305204,5962.0,5437.0
101,Filler-213,Filler,213,978.433183503692,0.0501512705224772,4723.0,6052.0
102,Filler-217,Filler,217,992.710635425676,0.0482787122544177,4963.0,5547.0
103,Filler-258,Filler,258,1061.4602625663665,0.0436080011527881,6089.0,4231.0
104,Filler-261,Filler,261,1058.4937650556028,0.0466087255586559,6038.0,5095.0
105,Filler-279,Filler,279,1014.6124130453728,0.0494329791371858,5296.0,5835.0
106,Filler-294,Filler,294,968.6931918007508,0.0463291183067725,4531.0,5006.0
107,Filler-322,Filler,322,969.3709221261786,0.0498962586281407,4548.0,5978.0
108,Filler-387,Filler,387,1067.1186851432244,0.0483490202994533,6209.0,5562.0
109,Filler-408,Filler,408,1022.4029480136678,0.0494359516362307,5436.0,5836.0
110,Filler-425,Filler,425,986.2471779004824,0.0500889381054119,4848.0,6038.0
111,Filler-445,Filler,445,997.6421030770564,0.0476237151425835,5033.0,5382.0
112,Filler-453,Filler,453,973.9037021301918,0.050335836009223,4624.0,6101.0
113,Filler-455,Filler,455,987.6875515687252,0.047561938449667,4872.0,5367.0
114,Filler-475,Filler,475,1042.102632770614,0.0455178937694189,5769.0,4785.0
115,Filler-489,Filler,489,965.3020433198484,0.0464771883206823,4494.0,5050.0
116,Filler-493,Filler,493,1043.3035022846975,0.0496775913064864,5792.0,5909.0
117,Filler-503,Filler,503,1027.8456117517958,0.0456513925501743,5521.0,4823.0
118,Filler-530,Filler,530,1065.95204984706,0.0491021333011495,6192.0,5741.0
119,Filler-538,Filler,538,1033.4241825278689,0.0458092405537178,5612.0,4864.0
120,Filler-548,Filler,548,1062.309788851586,0.0440104555514417,6109.0,4369.0
121,Filler-558,Filler,558,981.5306971523852,0.0494151555551795,4765.0,5830.0
122,Filler-568,Filler,568,1051.3853382066802,0.0467874091865348,5913.0,5150.0
123,Filler-572,Filler,572,975.2230687212864,0.0446478872344422,4646.0,4544.0
124,Filler-583,Filler,583,1004.2904706427196,0.0495505581179473,5128.0,5875.0
125,Filler-587,Filler,587,1046.5441874635735,0.0462113436990291,5841.0,4975.0
126,Filler-613,Filler,613,1018.033938586372,0.0442168784338771,5359.0,4422.0
127,Filler-642,Filler,642,957.9892137079864,0.0498220035086152,4365.0,5954.0
128,Filler-674,Filler,674,1069.9374128873706,0.0453479101058886,6258.0,4750.0
129,Filler-692,Filler,692,946.2561889185208,0.0434032492093521,4178.0,4179.0
130,Filler-732,Filler,732,980.7680734610047,0.0469987569484433,4758.0,5211.0
131,Filler-763,Filler,763,1019.5323339761457,0.0480122460059084,5382.0,5487.0
132,Filler-773,Filler,773,1013.9289781147696,0.044716652783448,5282.0,4569.0
133,Filler-782,Filler,782,1068.7996158479696,0.0480431605186627,6238.0,5496.0
134,Filler-797,Filler,797,953.399551053676,0.0461729566194365,4292.0,4964.0
135,Filler-819,Filler,819,1035.3595157774537,0.0492287632420109,5639.0,5777.0
136,Filler-828,Filler,828,949.5392380479176,0.046406979017079,4233.5,5026.0
137,Filler-845,Filler,845,1033.653366848607,0.0456110091107649,5616.0,4809.0
138,Filler-848,Filler,848,1038.6650662485526,0.0509162042068355,5700.0,6242.0
139,Filler-856,Filler,856,1013.7186064516516,0.0456471603108855,5280.0,4819.0
140,Filler-898,Filler,898,971.9876454249784,0.045114384581486,4589.0,4698.0
141,Filler-912,Filler,912,987.7920926459336,0.0466756449691524,4874.0,5117.0
142,Filler-914,Filler,914,968.8843320352236,0.0440801111131054,4535.0,4389.0
143,Filler-981,Filler,981,954.2066166142406,0.0491493185923461,4304.0,5752.0
144,Filler-996,Filler,996,998.179762065758,0.0488835489563146,5042.0,5691.0
145,Filler-1005,Filler,1005,1052.0457631386762,0.0468773265097555,5925.0,5170.0
146,Filler-1032,Filler,1032,1041.2252370358322,0.0459554337855516,5749.0,4905.0
147,Filler-1060,Filler,1060,973.89456888061,0.0483076410768474,4623.0,5551.0
148,Filler-1085,Filler,1085,951.5591028744132,0.0487383411259154,4264.0,5653.0
149,Filler-1104,Filler,1104,999.47131104779,0.0465367404475883,5059.0,5070.0
150,Filler-1110,Filler,1110,971.8676926764967,0.050586414225882,4586.0,6161.0
151,Filler-1142,Filler,1142,1052.8502686698334,0.0444021288269042,5938.0,4474.0
152,Filler-1172,Filler,1172,1026.6569276191228,0.0439799691419347,5506.0,4362.0
153,Filler-1190,Filler,1190,1055.798970989365,0.0469058905707532,5986.0,5182.0
154,Filler-1230,Filler,1230,968.1864263295982,0.0441279171602803,4523.0,4404.0
155,Filler-1237,Filler,1237,1044.2621593480303,0.0492412348394693,5806.0,5783.0
156,Filler-1278,Filler,1278,1064.1598254188116,0.0442147704472573,6153.0,4421.0
157,Filler-1297,Filler,1297,1041.673952019275,0.0487428428385248,5757.0,5656.0
158,Filler-1317,Filler,1317,1028.3572325463847,0.0458940783935975,5527.0,4889.0
159,Filler-1319,Filler,1319,1012.2008858610473,0.0493726030272285,5262.0,5822.0
160,Filler-1333,Filler,1333,992.9905114277864,0.0459901247619307,4968.0,4912.0
161,Filler-1358,Filler,1358,972.4508775868704,0.0466417653191187,4599.0,5106.0
162,Filler-1362,Filler,1362,1050.3055527791778,0.0471681714370175,5899.0,5253.0
163,Filler-1365,Filler,1365,977.2917696111464,0.0454581318551553,4697.0,4768.0
164,Filler-1407,Filler,1407,1010.6750041123988,0.0449421964863723,5234.0,4640.0
165,Filler-1444,Filler,1444,947.4918840784744,0.0452191611906358,4200.0,4723.0
166,Filler-1449,Filler,1449,1042.5245497968242,0.0464975718412046,5774.0,5060.0
167,Filler-1505,Filler,1505,1033.5454359599594,0.0435547957841485,5614.0,4221.0
168,Filler-1510,Filler,1510,948.6970061611725,0.0506377987679786,4221.0,6169.0
169,Filler-1527,Filler,1527,1001.1471347903204,0.0488371705556125,5082.0,5679.0
170,Filler-1529,Filler,1529,1025.899679263044,0.0506582794219025,5495.0,6175.0
171,Filler-1565,Filler,1565,1004.8974206958192,0.0469597509555941,5135.0,5194.0
172,Filler-1568,Filler,1568,972.230791998772,0.0467152816034328,4595.0,5131.0
173,Filler-1588,Filler,1588,976.3708950264408,0.0435280024940801,4674.0,4212.0
174,Filler-1598,Filler,1598,1009.0680444750913,0.0448923742699353,5205.0,4624.0
175,Filler-1622,Filler,1622,995.6128364670756,0.0467094196515561,5005.0,5128.0
176,Filler-1632,Filler,1632,982.9731300407718,0.045244089213277,4798.0,4729.0
177,Filler-1633,Filler,1633,1064.8178406384084,0.0502952067046645,6170.0,6093.0
178,Filler-1668,Filler,1668,1048.0245535336978,0.0478310944344223,5860.0,5446.0
179,Filler-1697,Filler,1697,1058.1726550185542,0.0460756931668254,6031.0,4932.0
180,Filler-1712,Filler,1712,1017.2374011883788,0.046081301161597,5340.0,4934.0
181,Filler-1723,Filler,1723,970.624392252525,0.0476553227371515,4561.0,5388.0
182,Filler-1744,Filler,1744,989.0809510944694,0.045348285148879,4900.0,4751.0
183,Filler-1746,Filler,1746,1014.5871526365332,0.0503604464773228,5295.0,6110.0
184,Filler-1769,Filler,1769,969.2981019530883,0.0493457618670823,4544.0,5812.0
185,Filler-1814,Filler,1814,1024.8332642355535,0.0445330139395428,5482.0,4512.0
186,Filler-1835,Filler,1835,958.1801423600692,0.0437409383929902,4370.0,4282.0
187,Filler-1867,Filler,1867,964.3045703136548,0.0465830278573355,4482.0,5084.0
188,Filler-1874,Filler,1874,1046.5174981504435,0.0466178807998432,5840.0,5099.0
189,Filler-1881,Filler,1881,1018.9140104757728,0.0484556122449429,5371.0,5583.0
190,Filler-1891,Filler,1891,1020.6554121432692,0.0459680602575441,5403.0,4907.0
191,Filler-1963,Filler,1963,961.6015426204712,0.0489476985713588,4432.0,5703.0
192,Filler-2067,Filler,2067,988.6476595733292,0.0436095519491475,4895.0,4232.0
193,Filler-2092,Filler,2092,1019.1739253595229,0.0495349009203381,5377.0,5868.0
194,Filler-2117,Filler,2117,998.4063992397952,0.0461433971792807,5047.0,4952.0
195,Filler-2121,Filler,2121,1014.4699180650794,0.0476229665527415,5292.0,5381.0
196,Filler-2155,Filler,2155,975.3552724645884,0.0454866394191602,4649.0,4777.0
197,Filler-2191,Filler,2191,978.065828394654,0.0497965374962545,4716.0,5946.0
198,Filler-2209,Filler,2209,1023.0469404815032,0.0498331050465765,5445.0,5959.0
199,Filler-2226,Filler,2226,956.8389769272368,0.0479338214380158,4348.0,5467.0
200,Filler-2272,Filler,2272,1049.039910593092,0.0498856339284997,5877.0,5975.0
201,Filler-2310,Filler,2310,1051.2141710674134,0.0508682302909663,5909.0,6231.0
202,Filler-2331,Filler,2331,998.0711759168912,0.044859010359364,5041.0,4613.0
203,Filler-2349,Filler,2349,981.9338751581016,0.0498702571227413,4774.0,5971.0
204,Filler-2364,Filler,2364,958.1461462502532,0.0461036605676623,4368.0,4937.0
205,Filler-2373,Filler,2373,983.6590899203952,0.0492864622876225,4810.0,5794.0
206,Filler-2376,Filler,2376,1034.1251211684062,0.0466554058438373,5624.0,5112.0
207,Filler-2386,Filler,2386,1058.6901340023455,0.0462230046841334,6041.0,4978.0
208,Filler-2399,Filler,2399,1009.8962295765076,0.046545178274602,5224.0,5073.0
209,Filler-2428,Filler,2428,1054.031422098906,0.0452387003039569,5959.0,4728.0
210,Filler-2444,Filler,2444,1025.439631443943,0.0491298063584288,5487.0,5747.0
211,Filler-2458,Filler,2458,1056.1815666677428,0.0450310224930324,5994.0,4673.0
212,Filler-2474,Filler,2474,1064.0621701020789,0.050510194754901,6150.0,6143.0
