,Index,Image type,Image index,Distinctiveness,Reconstruction error,Distinctiveness rank,RE rank,RE group,Dist group,Rank diff,Rank sum
0,Target-3,Target,3,821.5922649509689,0.0703743824316177,2604.0,9215.0,Large,Small,,
1,Target-8,Target,8,819.1072693656862,0.0732696261091581,2578.0,9423.0,Large,Small,,
2,Target-16,Target,16,633.8745878029805,0.0637140650858218,1061.0,8528.0,Large,Small,,
3,Target-113,Target,113,744.8578720407977,0.0615351276510992,1847.0,8231.0,Large,Small,,
4,Target-121,Target,121,679.6192075490202,0.064591135702429,1336.0,8648.0,Large,Small,,
5,Target-154,Target,154,805.3588776220466,0.0647333795246514,2430.0,8663.0,Large,Small,,
6,Target-177,Target,177,769.1451144900943,0.0600058914307014,2062.0,8033.0,Large,Small,,
7,Target-195,Target,195,820.9000122382815,0.0627839167840376,2595.0,8402.0,Large,Small,,
8,Target-202,Target,202,732.7213949901561,0.0610480344448606,1750.0,8164.0,Large,Small,,
9,Target-205,Target,205,740.2271588910229,0.0719157033025966,1814.0,9325.0,Large,Small,,
10,Target-270,Target,270,801.2366213086032,0.1043384324382701,2383.0,10259.0,Large,Small,,
11,Target-274,Target,274,773.048950351334,0.0681337636067346,2096.0,9022.0,Large,Small,,
12,Target-328,Target,328,778.2627437482422,0.0633621851568049,2154.0,8473.0,Large,Small,,
13,Target-332,Target,332,762.8247828482506,0.0674055319543754,1999.0,8944.0,Large,Small,,
14,Target-340,Target,340,742.7135062112369,0.0642414021981617,1831.0,8615.0,Large,Small,,
15,Target-404,Target,404,719.3609855175375,0.0633496458103818,1627.0,8472.0,Large,Small,,
16,Target-474,Target,474,711.1184275042975,0.0678319523495212,1570.0,8986.0,Large,Small,,
17,Target-479,Target,479,746.2370347075517,0.0910775489077108,1860.0,10076.0,Large,Small,,
18,Target-549,Target,549,710.9521348626845,0.0689106290257143,1569.0,9093.0,Large,Small,,
19,Target-570,Target,570,743.6646495781251,0.0668826757163796,1838.0,8880.0,Large,Small,,
20,Target-583,Target,583,736.4554072238434,0.0731154609218658,1776.0,9415.0,Large,Small,,
21,Target-609,Target,609,690.7536211987964,0.0588358579307045,1431.0,7854.0,Large,Small,,
22,Target-667,Target,667,690.0523132735001,0.0624165360584263,1424.0,8349.0,Large,Small,,
23,Target-737,Target,737,738.8794774897776,0.0617813605710747,1802.0,8271.0,Large,Small,,
24,Target-771,Target,771,739.1301475354779,0.0594557210945555,1804.0,7940.0,Large,Small,,
25,Target-773,Target,773,789.4896311127318,0.0717087586411786,2249.0,9310.0,Large,Small,,
26,Target-782,Target,782,752.1652772501233,0.0646822968596526,1901.0,8658.0,Large,Small,,
27,Target-790,Target,790,795.026377715447,0.0594643704715264,2310.0,7941.0,Large,Small,,
28,Target-902,Target,902,814.877476493491,0.0720316853438893,2540.0,9335.0,Large,Small,,
29,Target-985,Target,985,763.6673400281328,0.0597048022814715,2011.0,7987.0,Large,Small,,
30,Target-1019,Target,1019,0.0,0.0625378687762321,17.5,8369.5,Large,Small,,
31,Target-1021,Target,1021,802.1817137321167,0.0891599729118245,2400.0,10030.0,Large,Small,,
32,Target-1140,Target,1140,722.6916894402855,0.0791372789637009,1663.0,9713.0,Large,Small,,
33,Target-1165,Target,1165,787.74846809575,0.0634151149162017,2235.0,8481.0,Large,Small,,
34,Target-1216,Target,1216,625.8399759084127,0.0623333762264178,1016.0,8341.0,Large,Small,,
35,Target-1234,Target,1234,800.1036430873572,0.060062377370158,2372.0,8039.0,Large,Small,,
36,Target-1235,Target,1235,668.8151333818607,0.0621247924316033,1276.0,8317.0,Large,Small,,
37,Target-1306,Target,1306,807.0335306629228,0.0592438683582283,2455.0,7912.0,Large,Small,,
38,Target-1380,Target,1380,817.2218356096112,0.0670781475616823,2564.0,8908.0,Large,Small,,
39,Target-1395,Target,1395,789.3016095928633,0.0607410117388291,2247.0,8126.0,Large,Small,,
40,Target-1436,Target,1436,772.9040824713136,0.0602296946867222,2094.0,8062.0,Large,Small,,
41,Target-1458,Target,1458,535.4588011098105,0.1052378951996833,564.5,10265.0,Large,Small,,
42,Target-1529,Target,1529,807.3593047639508,0.0689734448897062,2457.0,9098.0,Large,Small,,
43,Target-1591,Target,1591,694.4224930312538,0.0714581212959568,1449.0,9297.0,Large,Small,,
44,Target-1604,Target,1604,806.7804817602985,0.0609069968316588,2449.0,8146.0,Large,Small,,
45,Target-1658,Target,1658,765.7832929162264,0.0595240848164996,2029.0,7950.0,Large,Small,,
46,Target-1673,Target,1673,65.95552057093715,0.0618079320439521,35.5,8280.0,Large,Small,,
47,Target-1726,Target,1726,728.3196343113484,0.0606534076644176,1717.0,8110.0,Large,Small,,
48,Target-1748,Target,1748,619.8443637839476,0.0736140909199452,980.0,9438.0,Large,Small,,
49,Target-1854,Target,1854,755.9197188144034,0.0599488842216725,1948.0,8025.0,Large,Small,,
50,Target-1988,Target,1988,796.9599181556165,0.058759676512351,2334.0,7841.0,Large,Small,,
51,Target-2034,Target,2034,744.9203500119693,0.0645887040568368,1849.0,8647.0,Large,Small,,
52,Target-2047,Target,2047,801.4854278191078,0.0683499207470493,2390.0,9036.0,Large,Small,,
53,Target-2048,Target,2048,746.5566369527161,0.065518784261983,1863.0,8739.0,Large,Small,,
54,Target-2130,Target,2130,724.9673481940004,0.0619778277982227,1681.0,8302.0,Large,Small,,
55,Filler-15,Filler,15,797.9157627995622,0.0588981498262036,2344.0,7869.0,Large,Small,,
56,Filler-68,Filler,68,560.7123485312784,0.0590958129486972,692.5,7896.0,Large,Small,,
57,Filler-137,Filler,137,752.3932143076845,0.0667724447639033,1902.0,8864.0,Large,Small,,
58,Filler-170,Filler,170,656.4328391752373,0.0601791809566106,1196.0,8054.0,Large,Small,,
59,Filler-323,Filler,323,0.0,0.0711236555962137,17.5,9266.5,Large,Small,,
60,Filler-358,Filler,358,699.3200014539447,0.0593625044249472,1479.0,7930.0,Large,Small,,
61,Filler-376,Filler,376,686.1459246588148,0.0676157992674932,1399.0,8963.0,Large,Small,,
62,Filler-395,Filler,395,768.9437597797273,0.0628108402698829,2059.0,8405.0,Large,Small,,
63,Filler-406,Filler,406,800.0491877816687,0.0630342727569189,2369.0,8429.0,Large,Small,,
64,Filler-409,Filler,409,806.1470177924083,0.0635072337517738,2439.0,8490.0,Large,Small,,
65,Filler-426,Filler,426,575.6950146255158,0.0587183386049586,754.0,7832.0,Large,Small,,
66,Filler-434,Filler,434,781.3041058586732,0.0662913401886176,2179.0,8821.0,Large,Small,,
67,Filler-484,Filler,484,746.0176673182872,0.0635194636912611,1858.0,8492.0,Large,Small,,
68,Filler-512,Filler,512,187.8860007887424,0.0626566496246555,41.5,8384.0,Large,Small,,
69,Filler-561,Filler,561,815.9717571467938,0.0617657703388584,2554.0,8269.0,Large,Small,,
70,Filler-599,Filler,599,651.3370526281535,0.0662758052001984,1163.0,8818.0,Large,Small,,
71,Filler-656,Filler,656,550.0884725797245,0.0590282442117078,631.0,7888.0,Large,Small,,
72,Filler-738,Filler,738,686.3557863671998,0.0599616857547213,1400.0,8026.0,Large,Small,,
73,Filler-755,Filler,755,768.1978615873983,0.069529576178643,2048.0,9150.0,Large,Small,,
74,Filler-824,Filler,824,761.9596989509416,0.0592752544965183,1992.0,7919.0,Large,Small,,
75,Filler-903,Filler,903,641.1248386936805,0.0860539079860512,1105.5,9938.0,Large,Small,,
76,Filler-948,Filler,948,771.8258631702271,0.063411090920445,2083.0,8480.0,Large,Small,,
77,Filler-968,Filler,968,622.3717719368865,0.0753686227457592,999.0,9547.0,Large,Small,,
78,Filler-992,Filler,992,617.7979493250081,0.064852583747014,968.0,8678.0,Large,Small,,
79,Filler-1080,Filler,1080,814.4006076510809,0.0661465417806112,2533.0,8809.0,Large,Small,,
80,Filler-1106,Filler,1106,793.4419903822397,0.0638424192230379,2295.0,8555.0,Large,Small,,
81,Filler-1113,Filler,1113,812.3179808823974,0.063830954843113,2511.0,8550.0,Large,Small,,
82,Filler-1159,Filler,1159,453.8497671619302,0.0590901404582258,284.0,7893.0,Large,Small,,
83,Filler-1161,Filler,1161,805.3326535955499,0.0668789705272863,2429.0,8878.0,Large,Small,,
84,Filler-1354,Filler,1354,72.44586325319287,0.0760895469873398,37.5,9590.0,Large,Small,,
85,Filler-1473,Filler,1473,346.9793906929922,0.0632658771507987,78.0,8460.0,Large,Small,,
86,Filler-1491,Filler,1491,715.7020469403078,0.065653804513751,1598.0,8752.0,Large,Small,,
87,Filler-1539,Filler,1539,575.6126965312873,0.0730097970806523,752.0,9404.0,Large,Small,,
88,Filler-1571,Filler,1571,814.4090747020923,0.0673079045836172,2534.0,8936.0,Large,Small,,
89,Filler-1589,Filler,1589,661.8482468973731,0.0677569037945417,1230.0,8979.0,Large,Small,,
90,Filler-1599,Filler,1599,742.6866486623869,0.0651784233087694,1830.0,8702.0,Large,Small,,
91,Filler-1664,Filler,1664,801.240563810039,0.0823998418605563,2384.0,9837.0,Large,Small,,
92,Filler-1748,Filler,1748,684.4985550591257,0.0635581008246422,1384.0,8500.0,Large,Small,,
93,Filler-1805,Filler,1805,682.5047858723855,0.0600382985955006,1372.0,8036.0,Large,Small,,
94,Filler-1823,Filler,1823,806.8710558694319,0.0653952801973077,2451.0,8726.0,Large,Small,,
95,Filler-1828,Filler,1828,641.1248386936805,0.0862460917707543,1105.5,9945.0,Large,Small,,
96,Filler-1856,Filler,1856,789.6142742309579,0.0658306328676653,2251.5,8768.0,Large,Small,,
97,Filler-1859,Filler,1859,742.8059179472183,0.0638333116196759,1832.0,8551.0,Large,Small,,
98,Filler-1990,Filler,1990,601.416062678167,0.0608402510604041,886.0,8139.0,Large,Small,,
99,Filler-2076,Filler,2076,700.7152692598149,0.0618844620448563,1487.0,8291.0,Large,Small,,
100,Filler-2079,Filler,2079,737.6755735058539,0.0595298105784644,1790.0,7952.0,Large,Small,,
101,Filler-2217,Filler,2217,681.8274662386176,0.0646420508732745,1363.0,8654.0,Large,Small,,
102,Filler-2239,Filler,2239,761.1705264211421,0.0605998322349715,1987.0,8103.0,Large,Small,,
103,Filler-2269,Filler,2269,736.4001725418512,0.0587281848552004,1774.0,7835.0,Large,Small,,
104,Filler-2340,Filler,2340,0.0,0.0625378687762321,17.5,8369.5,Large,Small,,
105,Filler-2346,Filler,2346,713.7787549844197,0.064044705290562,1589.0,8585.0,Large,Small,,
106,Filler-2368,Filler,2368,774.5605227076013,0.0610000593113302,2115.0,8154.0,Large,Small,,
107,Filler-2451,Filler,2451,777.1031598059764,0.0652215475468381,2141.0,8705.0,Large,Small,,
108,Filler-2584,Filler,2584,679.4938018132185,0.0817955751281101,1335.0,9811.0,Large,Small,,
109,Filler-2626,Filler,2626,751.0836197067462,0.0610822121310033,1896.0,8171.0,Large,Small,,
110,Filler-2694,Filler,2694,785.3857722668686,0.064254231618485,2213.0,8616.0,Large,Small,,
111,Filler-2706,Filler,2706,808.1589381486003,0.0616857170405507,2466.0,8258.0,Large,Small,,
112,Filler-2868,Filler,2868,539.5379448437478,0.0681745601625058,578.0,9026.0,Large,Small,,
113,Filler-2942,Filler,2942,785.6251735510901,0.0697198074879692,2214.0,9170.0,Large,Small,,
114,Filler-2971,Filler,2971,778.8686571834489,0.0749582601906182,2160.0,9520.0,Large,Small,,
115,Filler-2998,Filler,2998,794.6046257697212,0.0659529837996624,2307.0,8786.0,Large,Small,,
116,Filler-3034,Filler,3034,706.1900205521187,0.0629241944934994,1535.0,8417.0,Large,Small,,
117,Filler-3056,Filler,3056,738.6930244990259,0.0610872448353635,1800.0,8172.0,Large,Small,,
118,Filler-3184,Filler,3184,720.3647944881558,0.0595160395397791,1637.0,7949.0,Large,Small,,
119,Filler-3195,Filler,3195,820.1909803669647,0.0646979136300787,2586.0,8661.0,Large,Small,,
120,Filler-3235,Filler,3235,821.0410757792737,0.0638837951765508,2596.0,8562.0,Large,Small,,
121,Filler-3449,Filler,3449,817.6292359079488,0.0632490172741878,2567.0,8458.0,Large,Small,,
122,Filler-3500,Filler,3500,817.8100985150157,0.0651782647307913,2569.0,8701.0,Large,Small,,
123,Filler-3739,Filler,3739,699.988884831548,0.065896718385149,1485.0,8780.0,Large,Small,,
124,Filler-3773,Filler,3773,801.3657942379634,0.06407009585859,2387.0,8588.0,Large,Small,,
125,Filler-3913,Filler,3913,719.144933983687,0.0630011976420349,1626.0,8426.0,Large,Small,,
126,Filler-3966,Filler,3966,672.3905349645046,0.0629236206463995,1296.0,8416.0,Large,Small,,
127,Filler-4037,Filler,4037,620.2240348926148,0.0616387988602451,981.0,8248.0,Large,Small,,
128,Filler-4071,Filler,4071,668.7089671687182,0.062372020540001,1274.0,8347.0,Large,Small,,
129,Filler-4108,Filler,4108,804.0681314392474,0.0601167679738722,2414.0,8047.0,Large,Small,,
130,Filler-4319,Filler,4319,580.664682354348,0.0662613776751441,778.0,8816.0,Large,Small,,
131,Filler-4507,Filler,4507,777.9912995520086,0.0972158681388782,2150.0,10175.0,Large,Small,,
132,Filler-4558,Filler,4558,187.8860007887424,0.0623356948764024,41.5,8342.0,Large,Small,,
133,Filler-4579,Filler,4579,777.9750930166214,0.0606644805373309,2149.0,8113.0,Large,Small,,
134,Filler-4584,Filler,4584,795.6099851474713,0.0739336605076274,2316.0,9459.0,Large,Small,,
135,Filler-4621,Filler,4621,704.6556781374983,0.0802072190800061,1517.0,9754.0,Large,Small,,
136,Filler-4631,Filler,4631,806.7057033477879,0.0598002152789892,2448.0,8005.0,Large,Small,,
137,Filler-4646,Filler,4646,718.268659676757,0.074464297703562,1619.0,9491.0,Large,Small,,
138,Filler-4687,Filler,4687,778.768145763622,0.0590024151160236,2159.0,7884.0,Large,Small,,
139,Filler-4728,Filler,4728,72.44586325319287,0.0765948465948797,37.5,9610.0,Large,Small,,
140,Filler-4743,Filler,4743,705.9561653305362,0.0730594587495322,1531.0,9410.0,Large,Small,,
141,Filler-4836,Filler,4836,821.228269043945,0.0614677314725182,2598.0,8222.0,Large,Small,,
142,Filler-4845,Filler,4845,768.9808125734752,0.0729527818300332,2060.0,9398.0,Large,Small,,
143,Filler-4879,Filler,4879,813.5704177177997,0.0750691246102336,2523.0,9528.0,Large,Small,,
144,Filler-4893,Filler,4893,617.24035969671,0.0603718103344254,963.0,8078.0,Large,Small,,
145,Filler-4949,Filler,4949,796.4376346580685,0.0615356896222304,2329.0,8232.0,Large,Small,,
146,Filler-5022,Filler,5022,817.3027339731688,0.0668754803056744,2565.0,8877.0,Large,Small,,
147,Filler-5095,Filler,5095,809.8281591432672,0.0660467011352059,2485.0,8797.0,Large,Small,,
148,Filler-5113,Filler,5113,684.6117988897989,0.0641980197773912,1387.0,8607.0,Large,Small,,
149,Filler-5184,Filler,5184,822.0057572159094,0.0636130835458002,2607.0,8513.0,Large,Small,,
150,Filler-5327,Filler,5327,604.7512086573211,0.0607634411048701,902.0,8130.0,Large,Small,,
151,Filler-5349,Filler,5349,776.1918282645703,0.0625873332782771,2132.0,8375.0,Large,Small,,
152,Filler-5356,Filler,5356,812.1953303237956,0.0610103362868787,2509.0,8157.0,Large,Small,,
153,Filler-5418,Filler,5418,801.1765160234448,0.063215861407925,2382.0,8452.0,Large,Small,,
154,Filler-5430,Filler,5430,793.7852316733831,0.0774630596152014,2298.0,9644.0,Large,Small,,
155,Filler-5496,Filler,5496,767.3092426564467,0.0693162068668697,2044.0,9130.0,Large,Small,,
156,Filler-5507,Filler,5507,594.3019470776592,0.0637522464115475,851.0,8537.0,Large,Small,,
157,Filler-5543,Filler,5543,753.2917454363153,0.0824308818591611,1918.0,9839.0,Large,Small,,
158,Filler-5580,Filler,5580,664.7923759714172,0.063286446185545,1255.0,8463.0,Large,Small,,
159,Filler-5855,Filler,5855,814.2466972306329,0.0653696801198629,2529.0,8724.0,Large,Small,,
160,Filler-6043,Filler,6043,763.4664375591977,0.0680738130529532,2008.0,9014.0,Large,Small,,
161,Filler-6044,Filler,6044,812.2069424509291,0.0671497132156811,2510.0,8917.0,Large,Small,,
162,Filler-6054,Filler,6054,704.725237362777,0.0670613080312042,1518.0,8904.0,Large,Small,,
163,Filler-6109,Filler,6109,551.5536614964832,0.063794961492779,645.0,8545.0,Large,Small,,
164,Filler-6140,Filler,6140,753.6935167227742,0.0626658528237901,1925.0,8387.0,Large,Small,,
165,Filler-6147,Filler,6147,65.95552057093715,0.0610820829210047,35.5,8170.0,Large,Small,,
166,Filler-6174,Filler,6174,773.9528317121237,0.0646831721347305,2108.0,8659.0,Large,Small,,
167,Filler-6188,Filler,6188,535.4588011098105,0.1064178100008964,564.5,10278.0,Large,Small,,
168,Filler-6214,Filler,6214,747.8682007108353,0.0611637142675359,1878.0,8183.0,Large,Small,,
169,Filler-6285,Filler,6285,767.262697460911,0.0830964361246712,2042.0,9870.0,Large,Small,,
170,Filler-6311,Filler,6311,664.1153241394265,0.0683524401333238,1250.0,9038.0,Large,Small,,
171,Filler-6342,Filler,6342,699.4133440441525,0.0633819332136706,1480.0,8477.0,Large,Small,,
172,Filler-6355,Filler,6355,768.6913585460229,0.0701119149401329,2053.0,9196.0,Large,Small,,
173,Filler-6369,Filler,6369,697.4720240420273,0.0730339337322786,1467.0,9406.0,Large,Small,,
174,Filler-6435,Filler,6435,604.3428109526619,0.1021947738374462,900.0,10241.0,Large,Small,,
175,Filler-6482,Filler,6482,679.9307144531865,0.0633738255107164,1341.0,8476.0,Large,Small,,
176,Filler-6507,Filler,6507,759.8554272772394,0.0723035191829197,1977.0,9347.0,Large,Small,,
177,Filler-6577,Filler,6577,765.9083220160046,0.068221689131546,2030.0,9029.0,Large,Small,,
178,Filler-6735,Filler,6735,0.0,0.0711236555962137,17.5,9266.5,Large,Small,,
179,Filler-6752,Filler,6752,680.3921855149448,0.0637533325512233,1348.0,8538.0,Large,Small,,
180,Filler-6863,Filler,6863,784.8697668208656,0.0930220984430566,2207.0,10109.0,Large,Small,,
181,Filler-6873,Filler,6873,787.7269752950168,0.0640455566100563,2234.0,8586.0,Large,Small,,
182,Filler-6979,Filler,6979,787.9558931277354,0.0647757742352153,2236.0,8667.0,Large,Small,,
183,Filler-6995,Filler,6995,633.351457267152,0.059488724802065,1057.0,7943.0,Large,Small,,
184,Filler-7154,Filler,7154,708.44825916442,0.0616252838011911,1550.0,8245.0,Large,Small,,
185,Filler-7209,Filler,7209,765.9331927552248,0.059842613717843,2031.0,8013.0,Large,Small,,
186,Filler-7482,Filler,7482,777.071728033111,0.0612683169282976,2140.0,8208.0,Large,Small,,
187,Filler-7517,Filler,7517,716.4694269755307,0.0588202085669978,1607.0,7850.0,Large,Small,,
188,Filler-7588,Filler,7588,813.3239551444577,0.0649442817114945,2522.0,8680.0,Large,Small,,
189,Filler-7629,Filler,7629,584.2136795089865,0.0634631932446451,792.0,8484.0,Large,Small,,
190,Filler-7648,Filler,7648,737.3416320531495,0.0587922874395306,1784.0,7846.0,Large,Small,,
191,Filler-7802,Filler,7802,656.5439582546159,0.075081605075468,1198.0,9529.0,Large,Small,,
192,Filler-7963,Filler,7963,715.8517461239336,0.0590116816012971,1599.0,7885.0,Large,Small,,
193,Filler-8013,Filler,8013,736.0826919853304,0.0729148328297891,1770.0,9396.0,Large,Small,,
194,Filler-8015,Filler,8015,820.3754505009678,0.0753086831126356,2591.0,9542.0,Large,Small,,
195,Filler-4373,Filler,4373,1321.43978519148,0.0266841990792656,9520.0,368.0,Small,Large,9152.0,
196,Target-1563,Target,1563,1389.8258619919982,0.0310836962893939,9963.0,938.0,Small,Large,9025.0,
197,Filler-1861,Filler,1861,1344.1575321559858,0.0299839557365689,9708.0,767.0,Small,Large,8941.0,
198,Target-1954,Target,1954,1434.3333871097643,0.0327540720289997,10130.0,1236.0,Small,Large,8894.0,
199,Filler-3682,Filler,3682,1346.015965974167,0.0307726367484989,9726.0,891.0,Small,Large,8835.0,
200,Target-1657,Target,1657,1371.5633119412337,0.0317332059196658,9868.0,1062.0,Small,Large,8806.0,
201,Target-579,Target,579,1330.4074443820923,0.0306412352885783,9594.0,877.0,Small,Large,8717.0,
202,Target-1018,Target,1018,1381.1264191232776,0.0326024267169933,9915.0,1210.0,Small,Large,8705.0,
203,Filler-6080,Filler,6080,1270.5933547260586,0.0277641449371801,9148.0,468.0,Small,Large,8680.0,
204,Target-809,Target,809,1312.4502707724473,0.0303103124711317,9465.0,834.0,Small,Large,8631.0,
205,Filler-1122,Filler,1122,1254.9152734945446,0.0268787604524214,9000.0,390.0,Small,Large,8610.0,
